"","Destination","Origin","originLat","originLong","destLat","destLong","midpointX","midpointY","MeanRating","MeanPercent","MaxRating","MaxPercent","MinRating","TotalN"
"1","Argentina","Bolivia",-16.290154,-63.588653,-38.416097,-63.616672,-62.5120535696396,-13.7423441632131,3.25,72,3.25,72,3.25,1
"2","Argentina","Brazil",-14.235004,-51.92528,-38.416097,-63.616672,-52.5305675553017,-10.7728835775951,3.5,70,3.5,70,3.5,1
"3","Argentina","Ecuador",-1.831239,-78.183406,-38.416097,-63.616672,-74.7868216784997,2.71661219590088,3.25,76,3.5,88,2.75,3
"4","Argentina","Venezuela",6.42375,-66.58973,-38.416097,-63.616672,-64.681922249132,10.6359392804895,3.3125,72.5,3.75,80,2.75,4
"5","Australia","Belize",17.189877,-88.49765,-25.274398,133.775136,-76.4957700598727,29.4113861091372,3.75,70,3.75,70,3.75,1
"6","Australia","Bolivia",-16.290154,-63.588653,-25.274398,133.775136,-53.2916999160664,-5.34522456992298,3.33333333333333,70.6666666666667,3.75,72,2.75,3
"7","Australia","Brazil",-14.235004,-51.92528,-25.274398,133.775136,-41.8334645813755,-3.55509239963514,2.875,67.5,3.25,70,2.5,2
"8","Australia","Dominican Republic",18.735693,-70.162651,-25.274398,133.775136,-58.5161004883867,30.5437285420488,3.5,70,3.5,70,3.5,3
"9","Australia","Ecuador",-1.831239,-78.183406,-25.274398,133.775136,-67.0128515194632,9.777923288048,3.8125,71,4,72,3.5,4
"10","Australia","Fiji",-16.578193,179.414413,-25.274398,133.775136,174.611084159959,-11.5794029655017,3.25,67,3.25,67,3.25,1
"11","Australia","Guatemala",15.783471,-90.230759,-25.274398,133.775136,-78.2331424438065,28.0198735263186,3.25,70,3.25,70,3.25,1
"12","Australia","Madagascar",-18.766947,46.869107,-25.274398,133.775136,53.8499816521442,-11.344396899754,3.41666666666667,69.1666666666667,4,72,3,6
"13","Australia","Papua New Guinea",-6.314993,143.95555,-25.274398,133.775136,143.241889502095,-3.2857735889262,3.39285714285714,70,4,75,2.5,7
"14","Australia","Peru",-9.189967,-75.015152,-25.274398,133.775136,-64.1783400823805,2.19369181693273,3,67,3,67,3,1
"15","Australia","Solomon Islands",-9.64571,160.156194,-25.274398,133.775136,156.971682415349,-5.57750139559946,3.75,78,3.75,78,3.75,1
"16","Australia","Tanzania",-6.369028,34.888822,-25.274398,133.775136,42.8946535857436,1.82462758334074,3.5,71,3.75,75,3.25,2
"17","Australia","Trinidad",10.536421,-61.311951,-25.274398,133.775136,-50.1138301643458,21.9655718492461,3.25,69,3.75,70,2.75,2
"18","Australia","Vanuatu",-15.376706,166.959158,-25.274398,133.775136,162.942361113519,-11.0647273894024,3.0625,72.75,3.5,83,2.75,4
"19","Australia","Venezuela",6.42375,-66.58973,-25.274398,133.775136,-55.4036525731036,17.9057494674794,3.75,70,3.75,70,3.75,2
"20","Australia","Vietnam",14.058324,108.277199,-25.274398,133.775136,112.925661421656,19.4143878826383,3,70,3,70,3,1
"21","Austria","Bolivia",-16.290154,-63.588653,47.516231,14.550072,-58.7936899276597,-6.5917417983432,3,83,3.25,90,2.75,2
"22","Austria","Brazil",-14.235004,-51.92528,47.516231,14.550072,-47.8285195969656,-4.94268940728675,3,65,3,65,3,1
"23","Austria","Colombia",4.570868,-74.297333,47.516231,14.550072,-68.1359127942761,13.797832279326,3.25,74,3.25,74,3.25,1
"24","Austria","Congo [DRC]",-4.038333,21.758664,47.516231,14.550072,19.2647439409722,2.55997113286589,3.125,66.5,3.25,68,3,2
"25","Austria","Dominican Republic",18.735693,-70.162651,47.516231,14.550072,-63.8169573478009,27.2543902409384,3.75,66,3.75,70,3.75,2
"26","Austria","Ecuador",-1.831239,-78.183406,47.516231,14.550072,-72.0285905234049,7.75006953954203,2.875,72.5,3,75,2.75,2
"27","Austria","Haiti",18.971187,-72.285215,47.516231,14.550072,-65.8399434299411,27.5474901325617,3,82,3,82,3,1
"28","Austria","India",20.593684,78.96288,47.516231,14.550072,71.8815066303857,27.7806821900636,3.375,63.5,3.5,65,3.25,2
"29","Austria","Madagascar",-18.766947,46.869107,47.516231,14.550072,41.7422942126694,-10.6649833076793,3.5,70,3.5,70,3.5,1
"30","Austria","Panama",8.537981,-80.782127,47.516231,14.550072,-74.2039880197965,17.7999318828854,3.5,72,3.5,72,3.5,1
"31","Austria","Papua New Guinea",-6.314993,143.95555,47.516231,14.550072,133.924098537513,3.82894466466261,3,75,3,75,3,1
"32","Austria","Peru",-9.189967,-75.015152,47.516231,14.550072,-69.2752314933241,0.571344465414219,3.41666666666667,70,3.75,70,3,3
"33","Austria","Tanzania",-6.369028,34.888822,47.516231,14.550072,30.8867043937269,0.816870174943119,3.25,77.5,3.5,85,3,2
"34","Austria","Trinidad",10.536421,-61.311951,47.516231,14.550072,-55.6288682659784,19.1283369908667,3.125,81.5,3.5,85,2.75,2
"35","Belgium","Brazil",-14.235004,-51.92528,50.503887,4.469936,-48.7190506028682,-5.13240488284396,3,72,3,72,3,1
"36","Belgium","Cameroon",7.369722,12.354722,50.503887,4.469936,9.83307628566791,13.5601210435093,3.25,70,3.25,70,3.25,1
"37","Belgium","Costa Rica",9.748917,-83.753428,50.503887,4.469936,-77.5568463219041,18.8715193169867,3.125,67,3.5,70,2.75,2
"38","Belgium","Cuba",21.521757,-77.781167,50.503887,4.469936,-71.5522470774387,29.9701886450107,3.625,76,3.75,78,3.5,2
"39","Belgium","Ecuador",-1.831239,-78.183406,50.503887,4.469936,-72.6695969628062,7.57634930496921,3.0625,71.5,4,73,1,4
"40","Belgium","Ghana",7.946527,-1.023194,50.503887,4.469936,-1.97437921641167,14.0828801461752,3.5,60,3.5,60,3.5,1
"41","Belgium","Grenada",12.262776,-61.604171,50.503887,4.469936,-56.5283374111389,20.5998124538076,2.75,60,2.75,60,2.75,1
"42","Belgium","Indonesia",-0.789275,113.921327,50.503887,4.469936,104.568054223824,8.76058377001782,3.5,72,4,72,3,2
"43","Belgium","Madagascar",-18.766947,46.869107,50.503887,4.469936,40.8985363797412,-10.2605623523204,3.75,69.6666666666667,4,72,3.5,3
"44","Belgium","Mexico",23.634501,-102.552784,50.503887,4.469936,-95.2640217645166,32.7683474108166,3.5,72,4,72,3,2
"45","Belgium","Papua New Guinea",-6.314993,143.95555,50.503887,4.469936,133.566669731102,4.17425381934781,2.625,67,2.75,70,2.5,2
"46","Belgium","Peru",-9.189967,-75.015152,50.503887,4.469936,-69.9715615098269,0.39903548204386,3.08333333333333,74.6666666666667,3.5,85,2.75,3
"47","Belgium","Sao Tome",-0.006949,6.522309,50.503887,4.469936,4.65073203290378,6.32093697335323,2.75,75,2.75,75,2.75,1
"48","Belgium","Trinidad",10.536421,-61.311951,50.503887,4.469936,-56.3236974759353,18.9395541786997,3.5,71,3.75,75,3.25,2
"49","Belgium","Venezuela",6.42375,-66.58973,50.503887,4.469936,-61.4409132180919,15.165122062476,3.4,73.2,4,75,3,5
"50","Belgium","Vietnam",14.058324,108.277199,50.503887,4.469936,99.4750116192177,22.8866146522457,3,80,3,80,3,1
"51","Canada","Belize",17.189877,-88.49765,56.130366,-106.346771,-92.2910857861705,23.5283967572228,2.91666666666667,70,3,74,2.75,3
"52","Canada","Bolivia",-16.290154,-63.588653,56.130366,-106.346771,-69.5690116776655,-7.64929138127489,3.16666666666667,70.8333333333333,3.5,73,2.75,6
"53","Canada","Brazil",-14.235004,-51.92528,56.130366,-106.346771,-58.7868349538442,-5.36659875367322,3.16666666666667,73.3333333333333,3.5,80,3,3
"54","Canada","Colombia",4.570868,-74.297333,56.130366,-106.346771,-79.493921392678,12.0136006906928,3.25,70,3.25,70,3.25,2
"55","Canada","Dominican Republic",18.735693,-70.162651,56.130366,-106.346771,-75.7959388157699,25.5816567591059,3.35714285714286,71.0714285714286,3.75,77,2.75,14
"56","Canada","Ecuador",-1.831239,-78.183406,56.130366,-106.346771,-82.9680738605487,5.78879107636453,3.28125,77.25,3.75,100,2.75,8
